task,model,target,n_train,n_test,n_features,r2,mae_MJ,rmse_MJ,seed
descriptor_assisted,GradientBoosting,plastic_energy_MJ_front,895,224,7,0.9491473575,35.0456629038,55.4491160779,42
descriptor_assisted,Linear,plastic_energy_MJ_front,895,224,7,0.8617911303,74.0986789450,91.4125496673,42
descriptor_assisted,MLP,plastic_energy_MJ_front,895,224,7,0.9523082985,35.8245925718,53.6981437496,42
descriptor_assisted,RandomForest,plastic_energy_MJ_front,895,224,7,0.9508127344,33.4114760147,54.5336045661,42
descriptor_assisted,SVR,plastic_energy_MJ_front,895,224,7,0.9120866154,49.8641812704,72.9063515022,42
descriptor_assisted,GradientBoosting,plastic_energy_MJ_rear,895,224,7,0.9743778544,27.5206990155,36.5887642662,42
descriptor_assisted,Linear,plastic_energy_MJ_rear,895,224,7,0.9292221344,46.4942595345,60.8119214450,42
descriptor_assisted,MLP,plastic_energy_MJ_rear,895,224,7,0.9696447495,31.1247575894,39.8251027987,42
descriptor_assisted,RandomForest,plastic_energy_MJ_rear,895,224,7,0.9714857283,28.8161250709,38.5985629941,42
descriptor_assisted,SVR,plastic_energy_MJ_rear,895,224,7,0.9484297516,40.1874901075,51.9086347137,42
pre_event,GradientBoosting,plastic_energy_MJ_front,895,224,3,0.9327536873,42.7526656854,63.7634933841,42
pre_event,Linear,plastic_energy_MJ_front,895,224,3,0.7845761711,95.6078855484,114.1260365826,42
pre_event,MLP,plastic_energy_MJ_front,895,224,3,0.9315259184,43.1527228766,64.3429506504,42
pre_event,RandomForest,plastic_energy_MJ_front,895,224,3,0.9180354540,46.7100936949,70.3964702389,42
pre_event,SVR,plastic_energy_MJ_front,895,224,3,0.9201586293,47.2882204621,69.4787276824,42
pre_event,GradientBoosting,plastic_energy_MJ_rear,895,224,3,0.9449320264,38.8090305622,53.6400955415,42
pre_event,Linear,plastic_energy_MJ_rear,895,224,3,0.7969354604,81.4056416555,103.0046996739,42
pre_event,MLP,plastic_energy_MJ_rear,895,224,3,0.9437741466,40.3297721611,54.2010902938,42
pre_event,RandomForest,plastic_energy_MJ_rear,895,224,3,0.9429201437,38.4568299935,54.6111636453,42
pre_event,SVR,plastic_energy_MJ_rear,895,224,3,0.9366530829,43.5958039079,57.5311077960,42
