folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_15\N000_V3949_PE3252_37deg,3949,37,3252,778.9619122612439,705.8853029055692,30960000.0,5.3120021820000005,20680772.58333333,6959641.116323026
251210_new_batch\batch_15\N002_V914_PE978_53deg,914,53,978,121.4345935296506,160.28418657663846,6834000.0,4.0410001278,16175849.416666664,2413003.4658385594
251210_new_batch\batch_15\N003_V4558_PE5269_60deg,4558,60,5269,770.0287951086373,492.9972611358284,18740000.0,4.7809989452,23899646.666666664,5024943.451164757
251210_new_batch\batch_15\N004_V3166_PE2545_36deg,3166,36,2545,778.2722695542808,527.0473981217125,19790000.0,4.3950006962,18998790.041666668,4985195.611057639
251210_new_batch\batch_15\N005_V4075_PE4247_51deg,4075,51,4247,781.2854831543092,717.043079997064,24010000.0,4.8089997768,14840369.666666666,6380312.150461139
251210_new_batch\batch_15\N006_V1389_PE1339_45deg,1389,45,1339,437.0178244521699,143.57428700658116,8858000.0,4.459999084500001,22940276.375,2240965.621948936
251210_new_batch\batch_15\N007_V5078_PE5573_55deg,5078,55,5573,773.9691239446125,577.9101237953057,19750000.0,4.22900033,21985321.354166664,5831543.101737329
251210_new_batch\batch_15\N008_V1124_PE1160_49deg,1124,49,1160,284.80884969202475,248.59558743090264,9482000.0,4.4939999581,20998830.166666664,1971535.1897301488
251210_new_batch\batch_15\N009_V3560_PE4037_58deg,3560,58,4037,771.9520189953399,562.9224192057936,19900000.0,4.2599999905,18256569.33333333,5189044.392768544
251210_new_batch\batch_15\N010_V2188_PE2321_52deg,2188,52,2321,761.1883200581981,401.2321585818032,16650000.0,4.7600002289,22878669.666666664,4533786.610961903
251210_new_batch\batch_15\N011_V3106_PE3465_56deg,3106,56,3465,774.1655843494667,451.8328647383272,18660000.0,4.4149987697,22522876.0,5302917.209147584
251210_new_batch\batch_15\N012_V2184_PE2514_59deg,2184,59,2514,702.3863832610078,606.8305061732165,19170000.0,3.9810020924,18376984.08333333,4381715.422354314
251210_new_batch\batch_15\N013_V3683_PE3150_39deg,3683,39,3150,777.1451312331512,744.2589926641905,27800000.0,5.4039986134,23767487.3125,6160222.65227351
251210_new_batch\batch_15\N014_V1961_PE1480_33deg,1961,33,1480,301.9669366272222,208.55112918351904,8602000.0,4.614999771099999,25920391.921876665,2174952.694954671
251210_new_batch\batch_15\N015_V1077_PE927_40deg,1077,40,927,124.48370271204742,88.70100913069919,4134000.0,3.7690010071,25423135.354166664,1494661.1016166348
251210_new_batch\batch_15\N016_V1163_PE1095_44deg,1163,44,1095,155.0094030686246,154.21511629321347,5551000.0,3.975000143,23962593.052083336,1720151.613205178
251210_new_batch\batch_15\N017_V3531_PE3495_47deg,3531,47,3495,769.5825007862462,669.6355526097354,22880000.0,4.195002079,21843861.5625,6204841.150880117
251210_new_batch\batch_15\N018_V4990_PE4927_47deg,4990,47,4927,769.02758519273,716.6743099464234,23960000.0,4.8450002671,18557165.666666664,6553637.306120282
251210_new_batch\batch_15\N019_V2271_PE1822_36deg,2271,36,1822,264.54040869691147,315.80965343070915,9969000.0,4.2370011806,26069893.5,2696176.989696771
251210_new_batch\batch_15\N020_V2122_PE1549_32deg,2122,32,1549,371.5765332078332,183.08991242388544,9387000.0,4.889998912799999,25649075.604166664,2963169.2542968914
251210_new_batch\batch_15\N021_V1313_PE1440_56deg,1313,56,1440,345.95701352481626,305.39120960994387,11960000.0,4.2589998245,16017383.0,2668957.484335382
251210_new_batch\batch_15\N022_V2898_PE2009_30deg,2898,30,2009,574.7978745077082,284.54558717236495,13680000.0,5.095998764,21474993.83333333,3524669.526857632
251210_new_batch\batch_15\N023_V1490_PE1352_42deg,1490,42,1352,136.58909799495527,250.27616768136195,7110000.0,3.6830010415,24026589.979166664,2235357.794020859
251210_new_batch\batch_15\N024_V1215_PE1099_42deg,1215,42,1099,252.65846357883083,148.86437219222546,7086000.0,3.8329999447,24854319.5,1833115.286631453
251210_new_batch\batch_15\N025_V2658_PE2007_33deg,2658,33,2007,494.1118940668714,238.40952155155475,11460000.0,4.851998806000001,23132730.666666664,2808123.6008260297
251210_new_batch\batch_15\N026_V3501_PE2699_34deg,3501,34,2699,719.2472098783747,614.7649571423954,22140000.0,5.188001394299999,21851609.916666664,5580657.1264731465
251210_new_batch\batch_15\N027_V3759_PE4065_54deg,3759,54,4065,773.4111924245691,629.0620973809022,20580000.0,3.9679999352,34966400.666666664,5675410.674851855
251210_new_batch\batch_15\N028_V1650_PE1177_31deg,1650,31,1177,218.8364181044336,163.9414853016443,6416000.0,4.620999813,27070343.916666664,2097757.1381273605
251210_new_batch\batch_15\N029_V2293_PE2108_43deg,2293,43,2108,568.811174873005,333.26834994908506,14410000.0,4.199999094000001,23767592.291666664,2975506.6429152954
251210_new_batch\batch_15\N031_V1172_PE939_36deg,1172,36,939,188.47645297253405,66.03562875352823,4430000.0,3.944999218,16158246.666666666,1311276.616151337
